score,trad_count,world_count,trad_surprise,world_surprise
0,1,1,62.312436,60.443941193584536
1,20,20,57.990508,56.122013098697174
2,210,210,54.598191,52.729695675918414
3,1540,1540,51.723722,49.85522655800227
4,8855,8855,49.200160,47.331664601945256
5,42504,42504,46.937125,45.068630196111464
6,177100,177100,44.878232,43.009736507057895
7,657800,657800,42.985147,41.11665171097441
8,2220075,2220075,41.230259,39.36176420881094
9,6906900,6906900,39.592830,37.72433428819565
10,20030010,20029910,38.056777,36.188288590641015
11,54627084,54625390,36.609323,34.740872854548186
12,141116637,141101325,35.240124,33.37178489898169
13,347336412,347238500,33.940678,32.07258951930763
14,818558424,818062300,32.703926,30.83630571787297
15,1854631380,1852514070,31.523951,29.65710383963551
16,4053948342,4046044310,30.395756,28.530076220031486
17,8574134256,8547655600,29.315093,27.451059559137015
18,17590903116,17509826400,28.278326,26.416495464371803
19,35084425512,34854380550,27.282325,25.42332025717951
20,68153183370,67541888900,26.324374,24.46887771788911
21,129156542039,127622461010,25.402107,23.55084989018741
22,239128282128,235467859445,24.513443,22.66720199947072
23,433093980298,424744086650,23.656547,21.81613828768799
24,768175029950,749883201650,22.829792,20.996066244244872
25,1335679056261,1297052375366,22.031726,20.205567317709587
26,2278764308864,2199889956935,21.261048,19.443372695983893
27,3817721269708,3661566327540,20.516587,18.708343125121818
28,6285424931278,5985003339040,19.797289,17.99945200288602
29,10176048813473,9613307642730,19.102194,17.31577115164432
30,16210652213304,15182582176769,18.430429,16.656458782153692
31,25423690787719,23589203727170,17.781198,16.020749239998445
32,39274771758064,36073308835395,17.153768,15.407944199205653
33,59789973730461,54319527255130,16.547468,14.817405036240247
34,89736657900900,80574860327825,15.961674,14.248546177595886
35,132834787033075,117781961461410,15.395810,13.700829260652585
36,194006223597572,169723917774345,14.849340,13.173757978990388
37,279661205716974,241173996359780,14.321763,12.66687350247234
38,398018151390200,338040825065020,13.812609,12.179750374387277
39,559449136091831,467496338531750,13.321436,11.711992799418455
40,776838931567572,638070844965110,12.847828,11.263231249940016
41,1065940588576732,859697155357480,12.391388,10.83311933256794
42,1445705502357343,1143684325691265,11.951741,10.421330869036852
43,1938561121705315,1502601676134770,11.528529,10.02755715358565
44,2570605432880903,1950055813772110,11.121407,9.651504353427477
45,3371684590465908,2500347731015040,10.730045,9.29289102141675
46,4375319099346208,3168003824781765,10.354127,8.951445693066692
