score,count
0,1
1,20
2,210
3,1540
4,8855
5,42504
6,177100
7,657800
8,2220075
9,6906900
10,20030010
11,54627084
12,141116637
13,347336412
14,818558424
15,1854631380
16,4053948342
17,8574134256
18,17590903116
19,35084425512
20,68153183370
21,129156542039
22,239128282128
23,433093980298
24,768175029950
25,1335679056261
26,2278764308864
27,3817721269708
28,6285424931278
29,10176048813473
30,16210652213304
31,25423690787719
32,39274771758064
33,59789973730461
34,89736657900900
35,132834787033075
36,194006223597572
37,279661205716974
38,398018151390200
39,559449136091831
40,776838931567572
41,1065940588576732
42,1445705502357343
43,1938561121705315
44,2570605432880903
45,3371684590465908
46,4375319099346208
47,5618445228564793
48,7140942201229333
49,8984922304030443
50,11193770355829009
51,13810930667765157
52,16878453276117746
53,20435326129713654
54,24515635362932954
55,29146610869639549
56,34346628376654913
57,40123251227815383
58,46471404549689351
59,53371780703441318
60,60789577452586487
61,68673668434334934
62,76956298564663402
63,85553384395717227
64,94365480254213528
65,103279445170253902
66,112170812747354087
67,120906827121834566
68,129350064451661348
69,137362512979745598
70,144809940796620325
71,151566341291631624
72,157518221668013078
73,162568486673578693
74,166639683923175378
75,169676402232105648
76,171646676234883305
77,172542309343731946
78,172378125687965848
79,171190226627438257
80,169033430825208027
81,165978103316094584
82,162106654714921075
83,157509948809043576
84,152283892386077931
85,146526364181517039
86,140334651650668803
87,133803399444707801
88,127023103852577896
89,120079021507938035
90,113050455155943519
91,106010240661754449
92,99024411737621323
93,92151904402003308
94,85444345654857875
95,78945863453573001
96,72693023944120045
97,66714881583314335
98,61033240145235763
99,55663091133973346
100,50613244155051856
101,45887089510794122
102,41483436078768079
103,37397371704961189
104,33621048067136846
105,30144388614623696
106,26955619314626157
107,24041709119775647
108,21388640692533960
109,18981680119465910
110,16805547548715206
111,14844654231857239
112,13083276623221517
113,11505812292077067
114,10096971927616045
115,8842020009154293
116,7726929590817265
117,6738528470417086
118,5864552560171552
119,5093653838062639
120,4415377510495980
121,3820097597373727
122,3298981687014508
123,2843905747206868
124,2447444695948898
125,2102793053565659
126,1803790254604935
127,1544848145184291
128,1320992367181792
129,1127775864826813
130,961294388171457
131,818085023387881
132,695128788327698
133,589753122859383
134,499630252931260
135,422696870992462
136,357151976811922
137,301400973036441
138,254052574077937
139,213889601295347
140,179862464456172
141,151065169242834
142,126722015973414
143,106169469752641
144,88840622360686
145,74252067274687
146,61990415093876
147,51701385089887
148,43082666091665
149,35870481552300
150,29843343433392
151,24808172866872
152,20607116162379
153,17101443169235
154,14181008701762
155,11747089496422
156,9723545122578
157,8040378083433
158,6644452641044
159,5486702080236
160,4529003381568
161,3736165201688
162,3081105018158
163,2539255963377
164,2091793858275
165,1721930513702
166,1416734360140
167,1164733232308
168,957190045595
169,785911852914
170,645295369580
171,529489941608
172,434606120455
173,356481490646
174,292487050484
175,239755303889
176,196550315542
177,160954253448
178,131791387388
179,107847709116
180,88241591630
181,72162948863
182,59038079745
183,48284335855
184,39509743432
185,32308399043
186,26423428886
187,21582203262
188,17624621529
189,14368737009
190,11720626558
191,9552812749
192,7790240907
193,6351933169
194,5185250585
195,4232118751
196,3457204258
197,2821392492
198,2302090127
199,1874802017
200,1526313637
201,1239515641
202,1007719386
203,818568928
204,666193896
205,542061609
206,442072320
207,360234562
208,293886739
209,239045260
210,194337731
211,157306293
212,127325163
213,102799565
214,83194097
215,67300605
216,54691522
217,44477808
218,36317458
219,29606794
220,24117404
221,19554213
222,15820964
223,12736481
224,10258846
225,8244157
226,6659561
227,5381526
228,4385243
229,3576841
230,2930385
231,2376760
232,1924226
233,1541327
234,1231527
235,975760
236,777090
237,617547
238,498228
239,404981
240,335065
241,275998
242,226966
243,183727
244,148442
245,117291
246,93525
247,73010
248,57960
249,45826
250,37965
251,31193
252,26131
253,21406
254,17422
255,13613
256,10696
257,7975
258,6005
259,4374
260,3534
261,3016
262,2635
263,2264
264,1933
265,1603
266,1323
267,1045
268,810
269,585
270,406
271,277
272,258
273,227
274,206
275,173
276,150
277,115
278,90
279,53
280,26
281,15
282,15
283,14
284,14
285,13
286,13
287,12
288,12
289,11
290,11
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
