score,count
0,1
1,22
2,253
3,2024
4,12650
5,65780
6,296010
7,1184040
8,4292145
9,14307150
10,44352165
11,129024240
12,354812520
13,927933080
14,2319584200
15,5565718240
16,12865136110
17,28736092420
18,62188870870
19,130697092800
20,267272933540
21,532769108975
22,1036778637854
23,1972362048927
24,3672532309686
25,6700256139226
26,11989023680250
27,21058172558206
28,36336515539744
29,61639770774815
30,102862092176250
31,168959724941698
32,273325257131532
33,435673476537172
34,684583299428753
35,1060862770206613
36,1621923131160988
37,2447360021764037
38,3645940828846615
39,5364182327749559
40,7796667003164655
41,11198184960753771
42,15897697047015648
43,22313991067871721
44,30972746455796362
45,42524535975142008
46,57763082267342134
47,77642862380341493
48,103294929071566993
49,136039611358003038
50,177394588936008892
51,229076727364768633
52,292996034516794512
53,371240172388383519
54,466048146107849588
55,579772101551311862
56,714826594291038128
57,873625236810232966
58,1058505270569268145
59,1271641319117809650
60,1514950326150895005
61,1789990431422496465
62,2097857247974396394
63,2439081634656899822
64,2813533567134028677
65,3220337056975244154
66,3657801214005420624
67,4123372453311159223
68,4613612485117287955
69,5124206062557462672
70,5650001487858712745
71,6185085584570140034
72,6722893265127794108
73,7256350000532037204
74,7778043532741357887
75,8280419167139735102
76,8755991109289263095
77,9197560729344674389
78,9598431536233518723
79,9952610190974316202
80,10254983188612506303
81,10501459985773944643
82,10689075237695141528
83,10816045437930954655
84,10881778222080237645
85,10886835901105316496
86,10832857719277167247
87,10722448082371551955
88,10559039609988782532
89,10346741021123478464
90,10090179408092547200
91,9794345849883348089
92,9464451068780969559
93,9105796245532057081
94,8723661120104519597
95,8323210212956512364
96,7909415510959973340
97,7486994018343113759
98,7060357232935111723
99,6633571115631516738
100,6210324519013520286
101,5793906123333041431
102,5387189283241776112
103,4992625922791161320
104,4612249382680127791
105,4247686966678464015
106,3900181198173462935
107,3570618887871261468
108,3259565711661333804
109,2967303999275748507
110,2693871371722080927
111,2439097824902300641
112,2202640132075900865
113,1984011952023207499
114,1782610376230692307
115,1597738177040470940
116,1428623995034958974
117,1274439787771099147
118,1134318118618584132
119,1007367558095319651
120,892688296437593811
121,789385437552568890
122,696581835265511694
123,613427755583135948
124,539109292316429950
125,472853274025199170
126,413930819233915903
127,361658138188638628
128,315396743023586572
129,274552410899645490
130,238574199206012937
131,206953141014780219
132,179221013021414583
133,154949192186135032
134,133747207261978320
135,115261474513249088
136,99173266393202004
137,85196902473103710
138,73076966393607915
139,62585978623701041
140,53521474468480672
141,45703757229094414
142,38973354558267400
143,33189112830392809
144,28226234449567659
145,23974712334421888
146,20337919307691392
147,17231223956387817
148,14580968280328027
149,12323048784918606
150,10402060494851389
151,8769918092660789
152,7385243063082017
153,6212124324879671
154,5219750662731848
155,4381360046032047
156,3674063087616737
157,3078000509774278
158,2576270049569740
159,2154303903315084
160,1799801884908561
161,1502221593507026
162,1252699727912952
163,1043665606424380
164,868757903412007
165,722554397183095
166,600491993108302
167,498685319193357
168,413867076068246
169,343246422209671
170,284500038297282
171,235648156071563
172,195063605681904
173,161353950101055
174,133390103699609
175,110194064641244
176,90984866064704
177,75074902546659
178,61922202670129
179,51047084027635
180,42069275197747
181,34653368071812
182,28535643858748
183,23485446113328
184,19321833109230
185,15887735071205
186,13059168919576
187,10729000619528
188,8812468393300
189,7234769814273
190,5939186475463
191,4873504227827
192,3999005377374
193,3279625317161
194,2689401707080
195,2203839864248
196,1805701253436
197,1478464726395
198,1210486588304
199,990733718699
200,810868567992
201,663483578644
202,542985897019
203,444229317317
204,363460457534
205,297195510022
206,242977220731
207,198475568201
208,162110938534
209,132292842769
210,107993995385
211,88132839524
212,71950438762
213,58730156020
214,47956909139
215,39141604970
216,31945595321
217,26046144922
218,21226686893
219,17276834418
220,14058025345
221,11432405918
222,9303212007
223,7570467639
224,6167036137
225,5023529845
226,4095149982
227,3335518843
228,2716046660
229,2207482737
230,1792814079
231,1453906002
232,1179487288
233,956289076
234,776670237
235,630786689
236,513342828
237,417512309
238,339846970
239,275878075
240,223755223
241,180776885
242,146019420
243,117691210
244,95062020
245,76780415
246,62271966
247,50558070
248,41193671
249,33517650
250,27245035
251,22045534
252,17797739
253,14303349
254,11499261
255,9228853
256,7442970
257,6007972
258,4886969
259,3980125
260,3252074
261,2632987
262,2126532
263,1700063
264,1355164
265,1072105
266,852042
267,676417
268,544885
269,442725
270,365779
271,300787
272,246723
273,199353
274,160660
275,126751
276,100844
277,78671
278,62327
279,49279
280,40699
281,33443
282,27940
283,22845
284,18533
285,14445
286,11307
287,8413
288,6306
289,4602
290,3724
291,3180
292,2774
293,2381
294,2029
295,1680
296,1383
297,1090
298,841
299,605
300,416
301,286
302,266
303,234
304,212
305,178
306,154
307,118
308,92
309,54
310,26
311,15
312,15
313,14
314,14
315,13
316,13
317,12
318,12
319,11
320,11
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
